Name	r_ratio	r	EarlyStop	Method	PruneRate	Pruned	DtwCalls	DtwBaselineTime	PrepTime	LbTime	DtwTime	TotalTime	Speedup
DuckDuckGeese	0.1	27	1	MC2	0.8288	2072	428	48.393	0.034	0.005	1.048	1.087	44.5198

Epilepsy	0.1	21	1	MV	0.931715	17615	1291	1.125	0.005	0.01	0.009	0.024	46.875
Epilepsy	0.1	21	1	MC1	0.742939	14046	4860	1.125	0.002	0.007	0.009	0.018	62.5
Epilepsy	0.1	21	1	MC2	0.852639	16120	2786	1.125	0.002	0.015	0.01	0.027	41.6667

ERing	0.1	7	1	MV	0.912469	7391	709	0.07	0.001	0	0.005	0.006	11.6667
ERing	0.1	7	1	MC1	0.818148	6627	1473	0.07	0.001	0.001	0.003	0.005	14
ERing	0.1	7	1	MC2	0.863333	6993	1107	0.07	0	0.003	0.003	0.006	11.6667

